"annata","serie","categoria","codice","descrizione","mancanti","doppi","interazioni","ratio","rarità_attuale","rarità_calcolata","stato"
"2025/2026","Christmas 2025","Hand_painted","VQ252A","Gingerbread man","14","0","14","1.000","0","1","aggiornato"
"2025/2026","Christmas 2025","Hand_painted","VQ254A","Santa with motor sled","11","3","14","0.786","0","1","aggiornato"
"2025/2026","Christmas 2025","Hand_painted","VQ255A","Owl","8","1","9","0.889","0","1","aggiornato"
"2025/2026","Christmas 2025","Hand_painted","VQ257A","Elf red with snowboard","10","1","11","0.909","0","1","aggiornato"
"2025/2026","Christmas 2025","Hand_painted","VQ259A","Polar bear","9","1","10","0.900","0","1","aggiornato"
"2025/2026","Christmas 2025","Hand_painted","VQ260A","Reindeer on skis","11","1","12","0.917","0","1","aggiornato"
"2025/2026","Christmas 2025","Hand_painted","VT240A","Snowman","12","1","13","0.923","0","1","aggiornato"
"2025/2026","Christmas 2025","Hand_painted","VQ263A","Squirrel","6","1","7","","0","","skippato"
"2025/2026","Easter 2026","Hand_painted","VC241","Red Bird","7","1","8","0.875","0","1","aggiornato"
"2025/2026","Easter 2026","Hand_painted","VC244","Hedgehog","7","2","9","0.778","0","1","aggiornato"
"2025/2026","Easter 2026","Hand_painted","VC251","Blue Bird","7","2","9","0.778","0","1","aggiornato"
"2025/2026","Easter 2026","Hand_painted","VC252","Fox","5","3","8","0.625","0","1","aggiornato"
"2025/2026","Easter 2026","Hand_painted","VC254","Blue Rabbit","8","1","9","0.889","0","1","aggiornato"
"2025/2026","Easter 2026","Hand_painted","VC385","Rooster","10","0","10","1.000","0","1","aggiornato"
"2025/2026","Easter 2026","Hand_painted","VC242","White sheep","2","1","3","","0","","skippato"
"2025/2026","Easter 2026","Hand_painted","VC245","Pink Rabbit","6","0","6","","0","","skippato"
"2025/2026","Easter 2026","Hand_painted","VC246","Frog","5","1","6","","0","","skippato"
"2025/2026","Easter 2026","Hand_painted","VC247","Black sheep","5","1","6","","0","","skippato"
"2025/2026","Easter 2026","Hand_painted","VC250","Chick","6","1","7","","0","","skippato"
"2025/2026","Easter 2026","Hand_painted","VC253","Chicken","5","2","7","","0","","skippato"
"2025/2026","Animal Families - Crab and Monkey","Compo","VC026","Monkey family","8","0","8","1.000","0","1","aggiornato"
"2025/2026","Animal Families - Crab and Monkey","Compo","VC025","Crab family","5","0","5","","0","","skippato"
"2025/2026","Animal Families - Duck and Frog","Compo","VC019","Frog family","9","0","9","1.000","0","1","aggiornato"
"2025/2026","Animal Families - Duck and Frog","Compo","VC018","Duck family","5","0","5","","0","","skippato"
"2025/2026","Animal Families - Elephant and Giraffe","Compo","VC033","Elefant family","5","0","5","","0","","skippato"
"2025/2026","Animal Families - Elephant and Giraffe","Compo","VC034","Giraffe family","5","1","6","","0","","skippato"
"2025/2026","Animal Families - Hedgehog and Squirrel","Compo","VC021","Squirrel family","8","1","9","0.889","0","1","aggiornato"
"2025/2026","Animal Families - Hedgehog and Squirrel","Compo","VC020","Hedgehog family","7","0","7","","0","","skippato"
"2025/2026","Animal Families - Moose and Sheep","Compo","VC023","Moose family","8","0","8","1.000","0","1","aggiornato"
"2025/2026","Animal Families - Moose and Sheep","Compo","VC024","Sheep family","7","0","7","","0","","skippato"
"2025/2026","Animal Families - Penguin and Seal","Compo","VC016","Penguin family","4","0","4","","0","","skippato"
"2025/2026","Animal Families - Penguin and Seal","Compo","VC017","Seal family","4","0","4","","0","","skippato"
"2025/2026","Animal Families - Rabbit and Mouse","Compo","VC014","Rabbit family","5","0","5","","0","","skippato"
"2025/2026","Animal Families - Rabbit and Mouse","Compo","VC015","Mouse family","6","0","6","","0","","skippato"
"2025/2026","Animal Spinner","Compo","VC258","Sea spinner","4","0","4","","0","","skippato"
"2025/2026","Animal Spinner","Compo","VC258A","Jungle spinner","3","0","3","","0","","skippato"
"2025/2026","Animal Stamps","Compo","VQ047","Mouse stamp","7","0","7","","0","","skippato"
"2025/2026","Animal Stamps","Compo","VQ048","Parrot stamp","5","1","6","","0","","skippato"
"2025/2026","Come closer","Compo","VC069","Crocodile","5","0","5","","0","","skippato"
"2025/2026","Come closer","Compo","VC070","Elephant","6","0","6","","0","","skippato"
"2025/2026","Come in my Arms","Compo","VC081","Blue alien","7","0","7","","0","","skippato"
"2025/2026","Come in my Arms","Compo","VC081A","Red alien","7","0","7","","0","","skippato"
"2025/2026","Demolition Stars","Compo","VC088","Wrecking ball","5","1","6","","0","","skippato"
"2025/2026","Demolition Stars","Compo","VC089","Concrete nibbler","4","0","4","","0","","skippato"
"2025/2026","Do not squezze me","Compo","VC076","Crocodile","4","0","4","","0","","skippato"
"2025/2026","Do not squezze me","Compo","VC077","Parrot on the beach","4","0","4","","0","","skippato"
"2025/2026","Dodos Return","Compo","VC002","Dodo yellow","4","0","4","","0","","skippato"
"2025/2026","Dodos Return","Compo","VC002B","Dodo light blue","4","0","4","","0","","skippato"
"2025/2026","Excavators","Compo","VC008","Excavator","4","0","4","","0","","skippato"
"2025/2026","Excavators","Compo","VC009","Demolition excavator","3","1","4","","0","","skippato"
"2025/2026","Fairies World","Compo","VT023A","Fairy Agnes","9","0","9","1.000","0","1","aggiornato"
"2025/2026","Fairies World","Compo","VT023B","Fairy Bea","10","0","10","1.000","0","1","aggiornato"
"2025/2026","Fairies World","Compo","VT024A","Fairy Monika","9","0","9","1.000","0","1","aggiornato"
"2025/2026","Fairies World","Compo","VT024B","Fairy Wanda","8","1","9","0.889","0","1","aggiornato"
"2025/2026","Fairies World","Compo","VT025A","Flowee Regina","10","0","10","1.000","0","1","aggiornato"
"2025/2026","Fairies World","Compo","VT025B","Flowee Jasmin","9","1","10","0.900","0","1","aggiornato"
"2025/2026","Fairies World","Compo","VT026A","Flowee Stella","8","0","8","1.000","0","1","aggiornato"
"2025/2026","Fairies World","Compo","VT026B","Flowee Ruby","9","0","9","1.000","0","1","aggiornato"
"2025/2026","Fairies World","Compo","VT035A","Crystal rescal bracialet green","9","0","9","1.000","0","1","aggiornato"
"2025/2026","Fairies World","Compo","VT035B","Crystal rescal bracialet red","9","0","9","1.000","0","1","aggiornato"
"2025/2026","Fairies World","Compo","VT036A","Crystal hopper bracialet blue","9","0","9","1.000","0","1","aggiornato"
"2025/2026","Fairies World","Compo","VT036B","Crystal hopper bracialet pink","8","0","8","1.000","0","1","aggiornato"
"2025/2026","Fairies World","Compo","VT038A","Gipsy","9","0","9","1.000","0","1","aggiornato"
"2025/2026","Fairies World","Compo","VT038B","Rose","9","0","9","1.000","0","1","aggiornato"
"2025/2026","Fairies World","Compo","VT040B","Flower","8","0","8","1.000","0","1","aggiornato"
"2025/2026","Fairies World","Compo","VT041C","Butterfly","9","0","9","1.000","0","1","aggiornato"
"2025/2026","Fairies World","Compo","VT048D","Monika's House","9","0","9","1.000","0","1","aggiornato"
"2025/2026","Fairies World","Compo","VT048E","Agnes's House","9","1","10","0.900","0","1","aggiornato"
"2025/2026","Fairies World","Compo","VT049A","Dangle Dragonfly purple","8","0","8","1.000","0","1","aggiornato"
"2025/2026","Fairies World","Compo","VT064A","Butterfly Box","10","0","10","1.000","0","1","aggiornato"
"2025/2026","Fairies World","Compo","VT065A","Star Box","9","1","10","0.900","0","1","aggiornato"
"2025/2026","Fairies World","Compo","VT076B","Mochi","9","0","9","1.000","0","1","aggiornato"
"2025/2026","Fairies World","Compo","VT076C","Gaia","9","0","9","1.000","0","1","aggiornato"
"2025/2026","Fairies World","Compo","VT094A","Crown beaver purple","8","1","9","0.889","0","1","aggiornato"
"2025/2026","Fairies World","Compo","VT094B","Crown beaver orange","9","0","9","1.000","0","1","aggiornato"
"2025/2026","Fairies World","Compo","VT095A","Crown rabbit green","9","0","9","1.000","0","1","aggiornato"
"2025/2026","Fairies World","Compo","VT095B","Crown rabbit red","9","0","9","1.000","0","1","aggiornato"
"2025/2026","Fairies World","Compo","VT096A","Hoggy pink","8","1","9","0.889","0","1","aggiornato"
"2025/2026","Fairies World","Compo","VT096B","Hoggy purple","10","0","10","1.000","0","1","aggiornato"
"2025/2026","Fairies World","Compo","VT097A","Rascal light blue","9","0","9","1.000","0","1","aggiornato"
"2025/2026","Fairies World","Compo","VT097B","Rascal pink","10","0","10","1.000","0","1","aggiornato"
"2025/2026","Fairies World","Compo","VT209A","Dangle Bird pink","9","0","9","1.000","0","1","aggiornato"
"2025/2026","Hard Work to painting","Compo","VC047","Koala","6","0","6","","0","","skippato"
"2025/2026","Hard Work to painting","Compo","VC049","Mouse","6","0","6","","0","","skippato"
"2025/2026","Hidden Pictures refresh","Compo","VT102A","Mouse X-ray","10","0","10","1.000","0","1","aggiornato"
"2025/2026","I Like Fish","Compo","VC061","Seal","5","0","5","","0","","skippato"
"2025/2026","I Like Fish","Compo","VC062","Walrus","7","0","7","","0","","skippato"
"2025/2026","Ice Games","Compo","VQ071","Penguin","6","1","7","","0","","skippato"
"2025/2026","Ice Games","Compo","VQ072","Polar bear","4","1","5","","0","","skippato"
"2025/2026","Key Guard","Compo","VC054","Frog","4","2","6","","0","","skippato"
"2025/2026","Key Guard","Compo","VC056","Monkey","4","0","4","","0","","skippato"
"2025/2026","Look in my Eyes","Compo","VC029","Green eyes","5","0","5","","0","","skippato"
"2025/2026","Look in my Eyes","Compo","VC029A","Purple eyes","6","0","6","","0","","skippato"
"2025/2026","On the Constrution site","Compo","VC094","Shovel excavator","5","0","5","","0","","skippato"
"2025/2026","On the Constrution site","Compo","VC096","Truck","3","0","3","","0","","skippato"
"2025/2026","Racers","Compo","VC041","Car with gear red","6","2","8","0.750","0","1","aggiornato"
"2025/2026","Racers","Compo","VC041A","Car with gear blue","8","0","8","1.000","0","1","aggiornato"
"2025/2026","Racers","Compo","VC063","Quad","8","0","8","1.000","0","1","aggiornato"
"2025/2026","Racers","Compo","VQ069A","Green Mileseater","9","0","9","1.000","0","1","aggiornato"
"2025/2026","Racers","Compo","VC064","Cross Car","7","0","7","","0","","skippato"
"2025/2026","Racers","Compo","VC066","Toy Box blue","5","1","6","","0","","skippato"
"2025/2026","Racers","Compo","VC068","Toy Box orange","7","0","7","","0","","skippato"
"2025/2026","Racers","Compo","VC095","Stan the screwmaster","4","1","5","","0","","skippato"
"2025/2026","Racers","Compo","VC120","Orange Speed","5","0","5","","0","","skippato"
"2025/2026","Racers","Compo","VC121","Golden Winner","4","0","4","","0","","skippato"
"2025/2026","Racers","Compo","VC140","Michael the mechanic","3","1","4","","0","","skippato"
"2025/2026","Racers","Compo","VC174","Niki","4","0","4","","0","","skippato"
"2025/2026","Racers","Compo","VC175","Blue Racebike","5","0","5","","0","","skippato"
"2025/2026","Racers","Compo","VC176","Red Racebike","5","0","5","","0","","skippato"
"2025/2026","Racers","Compo","VC177","Blue spinning car","3","1","4","","0","","skippato"
"2025/2026","Racers","Compo","VC178","Purple spinning car","5","1","6","","0","","skippato"
"2025/2026","Racers","Compo","VC181","Hot road red","4","1","5","","0","","skippato"
"2025/2026","Racers","Compo","VC182","Hot road orange","7","0","7","","0","","skippato"
"2025/2026","Racers","Compo","VC196","Michael","4","1","5","","0","","skippato"
"2025/2026","Racers","Compo","VC248","Blue Monster","5","1","6","","0","","skippato"
"2025/2026","Racers","Compo","VC249","Green Destroyer","4","2","6","","0","","skippato"
"2025/2026","Racers","Compo","VQ070A","Red Roadmaster","6","1","7","","0","","skippato"
"2025/2026","Racers","Compo","VQ209A","Le Mans Blue Flash","4","1","5","","0","","skippato"
"2025/2026","Racers","Compo","VQ210A","Le Mans Black Star","5","0","5","","0","","skippato"
"2025/2026","Shake more Hands","Compo","VC045","Octopus","8","0","8","1.000","0","1","aggiornato"
"2025/2026","Shake more Hands","Compo","VC046","Spider","5","0","5","","0","","skippato"
"2025/2026","Stamp Animals","Compo","VC059","Koala","3","1","4","","0","","skippato"
"2025/2026","Stamp Animals","Compo","VC060","Parrot","6","0","6","","0","","skippato"
"2025/2026","Sticky Animals","Compo","VQ203","Octopus green and yellow","8","0","8","1.000","0","1","aggiornato"
"2025/2026","Sticky Animals","Compo","VQ204","Octopus blue and orange","5","1","6","","0","","skippato"
"2025/2026","Sunlovers","Compo","VC074","Duck","4","0","4","","0","","skippato"
"2025/2026","Sunlovers","Compo","VC075","Frog","4","1","5","","0","","skippato"
"2025/2026","Surreal","Compo","VC072","Blue dragon","5","1","6","","0","","skippato"
"2025/2026","Surreal","Compo","VC079","Red dragon","5","0","5","","0","","skippato"
"2025/2026","Track Vehicle","Compo","VC116","Blue Car","4","1","5","","0","","skippato"
"2025/2026","Track Vehicle","Compo","VC179","Yellow Car","5","1","6","","0","","skippato"
"2025/2026","Transporters","Compo","VC038","Transporter 1","4","0","4","","0","","skippato"
"2025/2026","Transporters","Compo","VC087","Transporter 2","4","0","4","","0","","skippato"
"2025/2026","Turn me up","Compo","VC224","Yellow Flower","5","1","6","","0","","skippato"
"2025/2026","Turn me up","Compo","VC224A","Blue Flower","7","0","7","","0","","skippato"
"2025/2026","Underwater Games","Compo","VC035","Orca","5","0","5","","0","","skippato"
"2025/2026","Underwater Games","Compo","VC035A","Shark","4","0","4","","0","","skippato"
"2025/2026","Zipper Friends","Compo","VC050","Crocodile","4","1","5","","0","","skippato"
"2025/2026","Zipper Friends","Compo","VC051","Beaver","4","2","6","","0","","skippato"
"2025/2026","Star Wars","Hand_painted","VC365","Obi Wan Kenobi","9","7","16","0.563","0","1","aggiornato"
"2025/2026","Star Wars","Hand_painted","VC366","Luke Skywalker","3","9","12","0.250","0","1","aggiornato"
"2025/2026","Star Wars","Hand_painted","VC367","Chewbacca","6","9","15","0.400","0","1","aggiornato"
"2025/2026","Star Wars","Hand_painted","VC368","Stormtrooper","9","7","16","0.563","0","1","aggiornato"
"2025/2026","Star Wars","Hand_painted","VC369","Darth Vader","10","7","17","0.588","0","1","aggiornato"
"2025/2026","Star Wars","Hand_painted","VC370","Yoda","6","6","12","0.500","0","1","aggiornato"
"2025/2026","Star Wars","Hand_painted","VC371","Rey","5","8","13","0.385","0","1","aggiornato"
"2025/2026","Star Wars","Hand_painted","VC372","Kylo Ren","12","6","18","0.667","0","2","aggiornato"
"2025/2026","Star Wars","Hand_painted","VC373","Boba Fett","5","7","12","0.417","0","1","aggiornato"
"2025/2026","Star Wars","Hand_painted","VC374","Leia Organa","5","5","10","0.500","0","1","aggiornato"
"2025/2026","Gabby's Dollhouse","Hand_painted","VC338","Cakey Cat","5","0","5","","0","","skippato"
"2025/2026","Gabby's Dollhouse","Hand_painted","VC339","Gabby","5","1","6","","0","","skippato"
"2025/2026","Gabby's Dollhouse","Hand_painted","VC340","Kitty Fairy","4","1","5","","0","","skippato"
"2025/2026","Gabby's Dollhouse","Hand_painted","VC341","MerCat","6","1","7","","0","","skippato"
"2025/2026","Gabby's Dollhouse","Hand_painted","VC342","Pandy Paws","4","1","5","","0","","skippato"
"2025/2026","Gabby's Dollhouse","Hand_painted","VC343","Baby Box","5","0","5","","0","","skippato"
"2025/2026","Frozen 4","Hand_painted","VT428","Elsa - Frozen 3 edition","5","0","5","","0","","skippato"
"2025/2026","Frozen 4","Hand_painted","VT429","Anna - Frozen 3 edition","4","0","4","","0","","skippato"
"2025/2026","Frozen 4","Hand_painted","VU335","Anna - Frozen II edition","4","0","4","","0","","skippato"
"2025/2026","Frozen 4","Hand_painted","VU336","Olaf","4","0","4","","0","","skippato"
"2025/2026","Frozen 4","Hand_painted","VU337","Elsa - Frozen II edition","4","0","4","","0","","skippato"
"2025/2026","Frozen 4","Hand_painted","VU338","Bruni","5","0","5","","0","","skippato"
"2025/2026","Frozen 4","Hand_painted","VU339","Kristoff","4","0","4","","0","","skippato"
"2025/2026","Frozen 4","Hand_painted","VU340","The Nokk","4","0","4","","0","","skippato"
"2024/2025","Funko Pop - Jurassic World","Hand_painted","VQ284","Parasaurus","20","5","25","0.800","0","2","aggiornato"
"2024/2025","Funko Pop - Jurassic World","Hand_painted","VQ285","Gigantosaurus","15","14","29","0.517","0","1","aggiornato"
"2024/2025","Funko Pop - Jurassic World","Hand_painted","VQ286","Triceratops","15","4","19","0.789","0","1","aggiornato"
"2024/2025","Funko Pop - Jurassic World","Hand_painted","VQ287","Velociraptor","13","6","19","0.684","0","2","aggiornato"
"2024/2025","Funko Pop - Jurassic World","Hand_painted","VQ288","Pterodactylus (pen deco)","19","3","22","0.864","0","1","aggiornato"
"2024/2025","Funko Pop - Jurassic World","Hand_painted","VQ289","Velociraptor (pen deco)","10","7","17","0.588","0","1","aggiornato"
"2024/2025","Funko Pop - Jurassic World","Hand_painted","VQ290","Pachycephalosaurus (pen deco)","8","15","23","0.348","0","1","aggiornato"
"2024/2025","Funko Pop - Jurassic World","Hand_painted","VQ291","Brachiosaurus (supporto smartphone)","16","1","17","0.941","0","1","aggiornato"
"2024/2025","Funko Pop - Jurassic World","Hand_painted","VQ292","Indominus","13","8","21","0.619","0","1","aggiornato"
"2024/2025","Funko Pop - Jurassic World","Hand_painted","VQ293","Allosaurus (supporto smartphone)","11","12","23","0.478","0","1","aggiornato"
"2024/2025","Funko Pop - Jurassic World","Hand_painted","VQ302","Plateosaurus (supporto smartphone)","10","11","21","0.476","0","1","aggiornato"
"2024/2025","Funko Pop - Jurassic World","Hand_painted","VQ314","T-Rex","7","15","22","0.318","0","1","aggiornato"
"2024/2025","Funko Pop - Jurassic World","Hand_painted","VQ315","Mosasaurus (porta cavo)","20","1","21","0.952","0","1","aggiornato"
"2024/2025","Funko Pop - Jurassic World","Hand_painted","VQ316","Ankylosaurus","11","8","19","0.579","0","1","aggiornato"
"2024/2025","Funko Pop - Jurassic World","Hand_painted","VQ317","Pterodactylus (cable deco)","19","1","20","0.950","0","1","aggiornato"
"2024/2025","Funko Pop - Jurassic World","Hand_painted","VQ318","Pyroraptor (cable deco)","11","11","22","0.500","0","1","aggiornato"
"2024/2025","Funko Pop - Jurassic World","Hand_painted","VQ319","Scorpios Rex (porta cavo)","8","18","26","0.308","0","1","aggiornato"
"2024/2025","Funko Pop - Jurassic World","Hand_painted","VQ320","Acrocanthosaurus (porta cavo)","10","9","19","0.526","0","1","aggiornato"
"2024/2025","Funko Pop - Jurassic World","Hand_painted","VQ321","Dilophosaurus","9","16","25","0.360","0","1","aggiornato"
"2024/2025","Funko Pop - Jurassic World","Hand_painted","VQ322","T-Rex skeleton","11","10","21","0.524","0","1","aggiornato"
"2024/2025","Funko Pop - Jurassic World","Hand_painted","VQ323","Indoraptor","8","17","25","0.320","0","1","aggiornato"
"2024/2025","Funko Pop - Jurassic World","Hand_painted","VQ324","Stygimoloch","12","4","16","0.750","0","1","aggiornato"
"2024/2025","Funko Pop - Jurassic World","Hand_painted","VQ325","Stegosaurus","20","3","23","0.870","0","1","aggiornato"
"2024/2025","Funko Pop - Jurassic World","Hand_painted","VQ326","Chasmosaurus (porta cavo)","8","14","22","0.364","0","1","aggiornato"
"2024/2025","Super Mario","Hand_painted","DV548","Mario","12","12","24","0.500","0","1","aggiornato"
"2024/2025","Super Mario","Hand_painted","DV548A","Fire Mario","18","11","29","0.621","0","1","aggiornato"
"2024/2025","Super Mario","Hand_painted","DV549","Luigi","13","15","28","0.464","0","1","aggiornato"
"2024/2025","Super Mario","Hand_painted","DV549A","Fire Luigi","12","11","23","0.522","0","1","aggiornato"
"2024/2025","Super Mario","Hand_painted","DV550","Yoshi","15","12","27","0.556","0","1","aggiornato"
"2024/2025","Super Mario","Hand_painted","DV550A","Yoshi giallo","9","11","20","0.450","0","1","aggiornato"
"2024/2025","Super Mario","Hand_painted","VQ390","Fungo rosso evidenziatore","16","2","18","0.889","0","1","aggiornato"
"2024/2025","Super Mario","Hand_painted","VQ390A","Green Mushroom evidenziatore","8","14","22","0.364","0","1","aggiornato"
"2024/2025","Super Mario","Hand_painted","VQ392","Mario pen deco","9","11","20","0.450","0","1","aggiornato"
"2024/2025","Super Mario","Hand_painted","VQ393","Fungo rosso organizer","12","4","16","0.750","0","1","aggiornato"
"2024/2025","Super Mario","Hand_painted","VQ393A","Fungo verde organizer","11","2","13","0.846","0","1","aggiornato"
"2024/2025","Super Mario","Hand_painted","VQ394","Boo clip","8","8","16","0.500","0","1","aggiornato"
"2024/2025","Super Mario","Hand_painted","VQ397","Goomba","17","9","26","0.654","0","2","aggiornato"
"2024/2025","Super Mario","Hand_painted","VQ399","Fire Mario pop-it","12","3","15","0.800","0","1","aggiornato"
"2024/2025","Super Mario","Hand_painted","VQ400","Fungo rosso pop-it","17","3","20","0.850","0","1","aggiornato"
"2024/2025","Super Mario","Hand_painted","VQ401","Superstar","21","5","26","0.808","0","2","aggiornato"
"2024/2025","Super Mario","Hand_painted","VQ402","CheepCheep rosso","20","2","22","0.909","0","1","aggiornato"
"2024/2025","Super Mario","Hand_painted","VQ402A","CheepCheep giallo","15","16","31","0.484","0","1","aggiornato"
"2024/2025","Super Mario","Hand_painted","VQ405","Browser pop-it","10","11","21","0.476","0","1","aggiornato"
"2024/2025","Super Mario","Hand_painted","VQ406","Blooper clip","11","8","19","0.579","0","1","aggiornato"
"2024/2025","Super Mario","Hand_painted","VQ408","Fungo verde pop-it","14","7","21","0.667","0","2","aggiornato"
"2024/2025","Super Mario","Hand_painted","VQ412","Spiny clip","8","10","18","0.444","0","1","aggiornato"
"2024/2025","Super Mario","Hand_painted","VQ413","Piranha paperclip","14","5","19","0.737","0","2","aggiornato"
"2024/2025","Super Mario","Hand_painted","VQ414","Luigi pen deco","8","14","22","0.364","0","1","aggiornato"
"2024/2025","Super Mario","Hand_painted","VQ415","Peach pen deco","9","13","22","0.409","0","1","aggiornato"
"2024/2025","Super Mario","Hand_painted","VQ416","Questionblock tag","11","8","19","0.579","0","1","aggiornato"
"2024/2025","Super Mario","Hand_painted","VQ417","Toad paperclip","18","2","20","0.900","0","1","aggiornato"
"2024/2025","Super Mario","Hand_painted","VQ420","Yoshi pen deco","8","14","22","0.364","0","1","aggiornato"
"2024/2025","Super Mario","Hand_painted","VQ422","Fungo rosso portafoto","17","4","21","0.810","0","1","aggiornato"
"2024/2025","Super Mario","Hand_painted","VQ422A","Fungo verde portafoto","20","2","22","0.909","0","1","aggiornato"
"2025/2026","Funko Stranger Things","Hand_painted","VC259","Will","56","3","59","0.949","0","1","aggiornato"
"2025/2026","Funko Stranger Things","Hand_painted","VC260","Will Upside Down","42","10","52","0.808","0","2","aggiornato"
"2025/2026","Funko Stranger Things","Hand_painted","VC261","Dustin","16","23","39","0.410","0","1","aggiornato"
"2025/2026","Funko Stranger Things","Hand_painted","VC262","Dustin Upside Down","23","20","43","0.535","0","1","aggiornato"
"2025/2026","Funko Stranger Things","Hand_painted","VC263","Hopper","9","23","32","0.281","0","1","aggiornato"
"2025/2026","Funko Stranger Things","Hand_painted","VC264","Hopper Upside Down","15","16","31","0.484","0","1","aggiornato"
"2025/2026","Funko Stranger Things","Hand_painted","VC265","Max","13","25","38","0.342","0","1","aggiornato"
"2025/2026","Funko Stranger Things","Hand_painted","VC266","Max Upside Down","22","19","41","0.537","0","1","aggiornato"
"2025/2026","Funko Stranger Things","Hand_painted","VC267","Steve","10","27","37","0.270","0","1","aggiornato"
"2025/2026","Funko Stranger Things","Hand_painted","VC268","Steve Upside Down","12","26","38","0.316","0","1","aggiornato"
"2025/2026","Funko Stranger Things","Hand_painted","VC269","Eleven","18","18","36","0.500","0","1","aggiornato"
"2025/2026","Funko Stranger Things","Hand_painted","VC271","Demo Gorgon","11","23","34","0.324","0","1","aggiornato"
"2025/2026","Funko Stranger Things","Hand_painted","VC273","Lucas","13","23","36","0.361","0","1","aggiornato"
"2025/2026","Funko Stranger Things","Hand_painted","VC274","Mike","18","18","36","0.500","0","1","aggiornato"
"2025/2026","Funko Stranger Things","Hand_painted","VC275","Demo Gorgon paperclip","11","19","30","0.367","0","1","aggiornato"
"2025/2026","Funko Stranger Things","Hand_painted","VC276","Eleven smartphone holder","19","14","33","0.576","0","1","aggiornato"
"2025/2026","Funko Stranger Things","Hand_painted","VC277","Vecna smartphone holder","10","20","30","0.333","0","1","aggiornato"
"2025/2026","Funko Stranger Things","Hand_painted","VC283","Nancy cable deco","14","19","33","0.424","0","1","aggiornato"
"2025/2026","Funko Stranger Things","Hand_painted","VC284","Eddie Upside Down cable deco","13","20","33","0.394","0","1","aggiornato"
"2025/2026","Funko Stranger Things","Hand_painted","VC285","Erica cable deco","15","18","33","0.455","0","1","aggiornato"
"2025/2026","Funko Stranger Things","Hand_painted","VC286","Steven e Robin pen deco","10","20","30","0.333","0","1","aggiornato"
"2025/2026","Funko Stranger Things","Hand_painted","VC287","Demo Gorgon pen deco","11","18","29","0.379","0","1","aggiornato"
"2025/2026","Funko Stranger Things","Hand_painted","VC288","Robin Upside Down cable deco","13","12","25","0.520","0","1","aggiornato"
"2025/2026","Funko Stranger Things","Hand_painted","VC356","Eleven paperclip","15","21","36","0.417","0","1","aggiornato"
"2025/2026","Minecraft","Hand_painted","VC307","Alex","11","9","20","0.550","0","1","aggiornato"
"2025/2026","Minecraft","Hand_painted","VC308","Steve","16","2","18","0.889","0","1","aggiornato"
"2025/2026","Minecraft","Hand_painted","VC309","Creeper","23","1","24","0.958","0","1","aggiornato"
"2025/2026","Minecraft","Hand_painted","VC309A","Charged Creeper","24","2","26","0.923","0","1","aggiornato"
"2025/2026","Minecraft","Hand_painted","VC310","Zombie","18","2","20","0.900","0","1","aggiornato"
"2025/2026","Minecraft","Hand_painted","VC311","Enderman","18","1","19","0.947","0","1","aggiornato"
"2025/2026","Minecraft","Hand_painted","VC312","Alex in golden armour","15","3","18","0.833","0","1","aggiornato"
"2025/2026","Minecraft","Hand_painted","VC314","Steve in diamond armour","22","2","24","0.917","0","1","aggiornato"
"2025/2026","Minecraft","Hand_painted","VC315","Netherportal Skeleton smartphone holder","15","3","18","0.833","0","1","aggiornato"
"2025/2026","Minecraft","Hand_painted","VC317","Alex in golden armour paper clip","14","3","17","0.824","0","1","aggiornato"
"2025/2026","Minecraft","Hand_painted","VC318","Steve in diamond armour paper clip","17","2","19","0.895","0","1","aggiornato"
"2025/2026","Minecraft","Hand_painted","VC319","Ender Dragon","14","3","17","0.824","0","1","aggiornato"
"2025/2026","Minecraft","Hand_painted","VC320","Bat clip","14","3","17","0.824","0","1","aggiornato"
"2025/2026","Minecraft","Hand_painted","VC321","Spider clip","11","2","13","0.846","0","1","aggiornato"
"2025/2026","Minecraft","Hand_painted","VC322","Ocelet paper clip","12","4","16","0.750","0","1","aggiornato"
"2025/2026","Minecraft","Hand_painted","VC323","Magma pen deco","18","1","19","0.947","0","1","aggiornato"
"2025/2026","Minecraft","Hand_painted","VC326","Netherportal Wither Skeleton smartphone holder","21","1","22","0.955","0","1","aggiornato"
"2025/2026","Minecraft","Hand_painted","VC327","Fox paper clip","14","1","15","0.933","0","1","aggiornato"
"2025/2026","Minecraft","Hand_painted","VC328","Breeze fidget","15","0","15","1.000","0","1","aggiornato"
"2025/2026","Minecraft","Hand_painted","VC329","Shulker Box fidget","13","6","19","0.684","0","2","aggiornato"
"2025/2026","Minecraft","Hand_painted","VC334","Diamond ore","18","2","20","0.900","0","1","aggiornato"
"2025/2026","Minecraft","Hand_painted","VC334A","Redstone ore","17","1","18","0.944","0","1","aggiornato"
"2025/2026","Minecraft","Hand_painted","VC335","Emerald block","19","2","21","0.905","0","1","aggiornato"
"2025/2026","Minecraft","Hand_painted","VC335A","Ice block","18","1","19","0.947","0","1","aggiornato"
"2025/2026","Minecraft","Hand_painted","VC336","Grass block","19","1","20","0.950","0","1","aggiornato"
"2025/2026","Minecraft","Hand_painted","VC399","Golden block","13","1","14","0.929","0","1","aggiornato"
"2025/2026","Minecraft","Hand_painted","VC400","Cat paper clip","12","2","14","0.857","0","1","aggiornato"
"2025/2026","Minecraft","Hand_painted","VC405","Skeleton","16","3","19","0.842","0","1","aggiornato"
